t_hh	meas_SO	t_hh_1	SO
0	0,19	0	0,19
0,001389	0,19	0,05	1.908
0,002778	0,2037	0,1	3.151
0,004167	0,2411	0,15	4,05
0,005556	0,2903	0,2	4,7
0,006944	0,373	0,25	5.171
0,008333	0,434	0,3	5.511
0,009722	0,5187	0,35	5.757
0,01111	0,5974	0,4	5.935
0,0125	0,6663	0,45	6.064
0,01389	0,7411	0,5	6.157
0,01528	0,808		
0,01667	0,9025		
0,01806	0,9675		
0,01944	1.019		
0,02083	1.131		
0,02222	1.188		
0,02361	1.265		
0,025	1.336		
0,02639	1,41		
0,02778	1.446		
0,02917	1.495		
0,03056	1.564		
0,03194	1.615		
0,03333	1.684		
0,03472	1.739		
0,03611	1.765		
0,0375	1.877		
0,03889	1.954		
0,04028	1.983		
0,04167	2.017		
0,04306	2.066		
0,04444	2.121		
0,04583	2.198		
0,04722	2.227		
0,04861	2.249		
0,05	2.312		
0,05139	2.367		
0,05278	2.404		
0,05417	2.436		
0,05556	2.489		
0,05694	2.519		
0,05833	2.544		
0,05972	2.593		
0,06111	2.631		
0,0625	2.641		
0,06389	2.711		
0,06528	2.767		
0,06667	2.798		
0,06806	2.835		
0,06944	2.849		
0,07083	2.867		
0,07222	2.914		
0,07361	2.934		
0,075	2.961		
0,07639	2.999		
0,07778	3.013		
0,07917	3.062		
0,08056	3.109		
0,08194	3.139		
0,08333	3.182		
0,08472	3.194		
0,08611	3.202		
0,0875	3.215		
0,08889	3.251		
0,09028	3,29		
0,09167	3.316		
0,09306	3.345		
0,09444	3.343		
0,09583	3.365		
0,09722	3.424		
0,09861	3.442		
0,1	3.428		
0,1014	3.473		
0,1028	3.509		
0,1042	3.507		
0,1056	3,53		
0,1069	3.546		
0,1083	3,54		
0,1097	3.579		
0,1111	3.595		
0,1125	3.575		
0,1139	3.599		
0,1153	3.656		
0,1167	3.658		
0,1181	3.674		
0,1194	3.694		
0,1208	3.697		
0,1222	3.719		
0,1236	3.721		
0,125	3.741		
0,1264	3.745		
0,1278	3.766		
0,1292	3.792		
0,1306	3,79		
0,1319	3.808		
0,1333	3.833		
0,1347	3.867		
0,1361	3.867		
0,1375	3.879		
0,1389	3.888		
0,1403	3.884		
0,1417	3.879		
0,1431	3.892		
0,1444	3.953		
0,1458	3.967		
0,1472	3.957		
0,1486	3.953		
0,15	3.949		
0,1514	3.951		
0,1528	3.965		
0,1542	3.973		
0,1556	3.979		
0,1569	4.034		
0,1583	3.997		
0,1597	4.003		
0,1611	4.026		
0,1625	4,06		
0,1639	4.052		
0,1653	4.054		
0,1667	4,04		
0,1681	4.038		
0,1694	4,03		
0,1708	4.022		
0,1722	4.018		
0,1736	4.042		
0,175	4.054		
0,1764	4.042		
0,1778	4.079		
0,1792	4.091		
0,1806	4.101		
0,1819	4.087		
0,1833	4.056		
0,1847	4.077		
0,1861	4.089		
0,1875	4.075		
0,1889	4,06		
0,1903	4.075		
0,1917	4.081		
0,1931	4.077		
0,1944	4.105		
0,1958	4.127		
0,1972	4.085		
0,1986	4.101		
0,2	4.091		
0,2014	4.081		
0,2028	4.079		
0,2042	4.113		
0,2056	4.113		
0,2069	4.121		
0,2083	4.109		
0,2097	4.123		
0,2111	4.091		
0,2125	4.107		
0,2139	4.119		
0,2153	4.097		
0,2167	4,06		
0,2181	4.101		
0,2194	4.109		
0,2208	4.103		
0,2222	4.093		
0,2236	4.101		
0,225	4.127		
0,2264	4.121		
0,2278	4.121		
0,2292	4.129		
0,2306	4.105		
0,2319	4.089		
0,2333	4.127		
0,2347	4.148		
0,2361	4,14		
0,2375	4.129		
0,2389	4.136		
0,2403	4.132		
0,2417	4,13		
0,2431	4.127		
0,2444	4.111		
0,2458	4.091		
0,2472	4.101		
0,2486	4.109		
0,25	4.093		
0,2514	4.089		
0,2528	4.089		
0,2542	4.125		
0,2556	4,13		
0,2569	4.117		
0,2583	4.125		
0,2597	4.109		
0,2611	4.117		
0,2625	4.115		
0,2639	4.113		
0,2653	4.097		
0,2667	4.107		
0,2681	4.127		
0,2694	4.134		
0,2708	4.107		
0,2722	4.107		
0,2736	4.093		
